Subject,List
'001',1
'002',2
'003',1
'004',2
'007',1
'008',2
'010',2
'011',1
'012',2
'014',2
'015',1
'017',1
'018',2
'019',1
'021',1
'022',2
'024',2
'025',1
'026',2
'029',1
'030',2
'031',1
'032',2
'033',1
'034',2
'035',1
'036',2
'037',1
'038',2
'039',1
'040',2
'041',1
'042',2
'043',1
