TrialLabel,Syl1,Syl2,Syl3,Syl4,VoicingA,VoicingB,Pair Status,Pair Number,Order,Ordering,POA,Script1,Script2
pdm10ABBAb,K.UW.N,G.UW.N,G.UW.N,K.UW.N,voiced,voiceless,minPair,10,ABBA,b,velar,186,90
pdm11ABABa,G.IH.L.T,K.IH.L.T,G.IH.L.T,K.IH.L.T,voiced,voiceless,minPair,11,ABAB,a,velar,90,186
pdm11ABABb,K.IH.L.T,G.IH.L.T,K.IH.L.T,G.IH.L.T,voiced,voiceless,minPair,11,ABAB,b,velar,20,116
pdm11ABBAa,G.IH.L.T,K.IH.L.T,K.IH.L.T,G.IH.L.T,voiced,voiceless,minPair,11,ABBA,a,velar,127,31
pdm11ABBAb,K.IH.L.T,G.IH.L.T,G.IH.L.T,K.IH.L.T,voiced,voiceless,minPair,11,ABBA,b,velar,155,59
pdm12ABABa,G.EY.N,K.EY.N,G.EY.N,K.EY.N,voiced,voiceless,minPair,12,ABAB,a,velar,85,181
pdm12ABABb,K.EY.N,G.EY.N,K.EY.N,G.EY.N,voiced,voiceless,minPair,12,ABAB,b,velar,41,137
pdm12ABBAa,G.EY.N,K.EY.N,K.EY.N,G.EY.N,voiced,voiceless,minPair,12,ABBA,a,velar,122,26
pdm12ABBAb,K.EY.N,G.EY.N,G.EY.N,K.EY.N,voiced,voiceless,minPair,12,ABBA,b,velar,173,77
pdn01ABABa,B.OW.N,P.OW.N,B.OW.N,P.OW.N,voiced,voiceless,noMinPair,1,ABAB,a,labial,66,162
pdn01ABABb,P.OW.N,B.OW.N,P.OW.N,B.OW.N,voiced,voiceless,noMinPair,1,ABAB,b,labial,27,123
pdn01ABBAa,B.OW.N,P.OW.N,P.OW.N,B.OW.N,voiced,voiceless,noMinPair,1,ABBA,a,labial,169,73
pdn01ABBAb,P.OW.N,B.OW.N,B.OW.N,P.OW.N,voiced,voiceless,noMinPair,1,ABBA,b,labial,120,24
pdn02ABABa,B.IY.N,P.IY.N,B.IY.N,P.IY.N,voiced,voiceless,noMinPair,2,ABAB,a,labial,19,115
pdn02ABABb,P.IY.N,B.IY.N,P.IY.N,B.IY.N,voiced,voiceless,noMinPair,2,ABAB,b,labial,75,171
pdn02ABBAa,B.IY.N,P.IY.N,P.IY.N,B.IY.N,voiced,voiceless,noMinPair,2,ABBA,a,labial,192,96
pdn02ABBAb,P.IY.N,B.IY.N,B.IY.N,P.IY.N,voiced,voiceless,noMinPair,2,ABBA,b,labial,106,10
pdn03ABABa,B.EH.L,P.EH.L,B.EH.L,P.EH.L,voiced,voiceless,noMinPair,3,ABAB,a,labial,59,155
pdn03ABABb,P.EH.L,B.EH.L,P.EH.L,B.EH.L,voiced,voiceless,noMinPair,3,ABAB,b,labial,38,134
pdn03ABBAa,B.EH.L,P.EH.L,P.EH.L,B.EH.L,voiced,voiceless,noMinPair,3,ABBA,a,labial,134,38
pdn03ABBAb,P.EH.L,B.EH.L,B.EH.L,P.EH.L,voiced,voiceless,noMinPair,3,ABBA,b,labial,156,60
pdn04ABABa,B.OW.L.T,P.OW.L.T,B.OW.L.T,P.OW.L.T,voiced,voiceless,noMinPair,4,ABAB,a,labial,64,160
pdn04ABABb,P.OW.L.T,B.OW.L.T,P.OW.L.T,B.OW.L.T,voiced,voiceless,noMinPair,4,ABAB,b,labial,15,111
pdn04ABBAa,B.OW.L.T,P.OW.L.T,P.OW.L.T,B.OW.L.T,voiced,voiceless,noMinPair,4,ABBA,a,labial,102,6
pdn04ABBAb,P.OW.L.T,B.OW.L.T,B.OW.L.T,P.OW.L.T,voiced,voiceless,noMinPair,4,ABBA,b,labial,188,92
pdn05ABABa,D.AW.S,T.AW.S,D.AW.S,T.AW.S,voiced,voiceless,noMinPair,5,ABAB,a,alveolar,95,191
pdn05ABABb,T.AW.S,D.AW.S,T.AW.S,D.AW.S,voiced,voiceless,noMinPair,5,ABAB,b,alveolar,7,103
pdn05ABBAa,D.AW.S,T.AW.S,T.AW.S,D.AW.S,voiced,voiceless,noMinPair,5,ABBA,a,alveolar,184,88
pdn05ABBAb,T.AW.S,D.AW.S,D.AW.S,T.AW.S,voiced,voiceless,noMinPair,5,ABBA,b,alveolar,133,37
pdn06ABABa,D.EH.L.T,T.EH.L.T,D.EH.L.T,T.EH.L.T,voiced,voiceless,noMinPair,6,ABAB,a,alveolar,39,135
pdn06ABABb,T.EH.L.T,D.EH.L.T,T.EH.L.T,D.EH.L.T,voiced,voiceless,noMinPair,6,ABAB,b,alveolar,53,149
pdn06ABBAa,D.EH.L.T,T.EH.L.T,T.EH.L.T,D.EH.L.T,voiced,voiceless,noMinPair,6,ABBA,a,alveolar,116,20
pdn06ABBAb,T.EH.L.T,D.EH.L.T,D.EH.L.T,T.EH.L.T,voiced,voiceless,noMinPair,6,ABBA,b,alveolar,150,54
pdn07ABABa,D.AA.R.N,T.AA.R.N,D.AA.R.N,T.AA.R.N,voiced,voiceless,noMinPair,7,ABAB,a,alveolar,35,131
pdn07ABABb,T.AA.R.N,D.AA.R.N,T.AA.R.N,D.AA.R.N,voiced,voiceless,noMinPair,7,ABAB,b,alveolar,54,150
pdn07ABBAa,D.AA.R.N,T.AA.R.N,T.AA.R.N,D.AA.R.N,voiced,voiceless,noMinPair,7,ABBA,a,alveolar,129,33
pdn07ABBAb,T.AA.R.N,D.AA.R.N,D.AA.R.N,T.AA.R.N,voiced,voiceless,noMinPair,7,ABBA,b,alveolar,158,62
pdn08ABABa,D.UW.P,T.UW.P,D.UW.P,T.UW.P,voiced,voiceless,noMinPair,8,ABAB,a,alveolar,43,139
pdn08ABABb,T.UW.P,D.UW.P,T.UW.P,D.UW.P,voiced,voiceless,noMinPair,8,ABAB,b,alveolar,63,159
pdn08ABBAa,D.UW.P,T.UW.P,T.UW.P,D.UW.P,voiced,voiceless,noMinPair,8,ABBA,a,alveolar,107,11
