035-pdm01ABABa1, 7.996650, 0.00161214876033, -162.013, 0.041, 216.358, 0.081, 222.04, 0.027, 232.343, 0.053, 203.409, 0.038, 268.595, 0.091, 203.5, 0.026, 240.402, 0.111, 174.88, 0.033, 243.329, 0.087, 190.078, 0.048, 246.768, 0.076,
035-pdm01ABABb1, 8.248490, 0.00123110743802, 247.214, 0.06, -206.216, 0.005, 240.212, 0.066, 231.825, 0.044, 227.314, 0.083, 229.428, 0.031, -196.737, 0.006, 207.196, 0.005, 190.183, 0.061, -224.515, 0.005, -246.065, 0.006, 153.543, 0.005,
035-pdm01ABBAa1, 10.858800, 0.0017418677686, 238.938, 0.011, 213.267, 0.059, 159.308, 0.037, 109.996, 0.044, 142.987, 0.09, 234.17, 0.056, 197.938, 0.021, 195.921, 0.055, 171.224, 0.044, 200.127, 0.071, 169.625, 0.071, 142.595, 0.034,
035-pdm01ABBAb1, 8.671790, 0.0251030578512, 186.587, 0.047, -221.383, 0.005, 205.532, 0.014, 228.58, 0.06, 202.45, 0.048, 185.507, 0.022, 177.454, 0.028, 235.173, 0.055, 134.034, 0.005, -184.71, 0.064, 180.265, 0.033, -204.242, 0.05,
035-pdm02ABABa1, 9.758670, 0.000685140495868, 209.905, 0.03, 226.886, 0.052, 183.101, 0.013, 235.646, 0.041, 201.823, 0.015, 239.267, 0.044, 172.495, 0.018, 240.171, 0.045, 216.232, 0.025, 224.885, 0.061, -187.566, 0.008, 208.611, 0.057,
035-pdm02ABABb1, 9.087250, 0.00509990082645, 216.094, 0.05, 210.042, 0.022, 206.873, 0.1, -232.168, 0.008, 268.385, 0.067, 247.711, 0.03, 245.888, 0.058, 200.317, 0.013, 210.158, 0.066, -155.219, 0.005, 104.065, 0.064, 240.654, 0.035,
035-pdm02ABBAa1, 13.410300, 0.00033426446281, 182.634, 0.021, 219.646, 0.032, 217.1, 0.043, 170.419, 0.01, 185.796, 0.022, 217.835, 0.044, 189.318, 0.022, 173.515, 0.031, 187.082, 0.016, 221.161, 0.042, 221.4, 0.056, 156.836, 0.023,
035-pdm02ABBAb1, 14.491100, 0.000806082644628, 208.901, 0.044, 185.272, 0.019, 173.433, 0.01, 185.106, 0.039, 188.583, 0.038, 157.317, 0.005, 189.285, 0.012, 225.894, 0.056, 182.666, 0.037, -185.715, 0.011, 198.964, 0.025, 169.498, 0.059,
035-pdm03ABABa1, 10.373100, 0.00427626446281, 200.388, 0.019, 218.702, 0.066, 195.966, 0.012, 250.558, 0.066, 193.907, 0.016, 237.123, 0.06, 150.292, 0.066, 223.164, 0.066, 194.676, 0.03, 237.201, 0.06, 183.361, 0.024, 248.905, 0.06,
035-pdm03ABABb1, 9.871460, 0.000568743801653, 224.913, 0.036, 196.734, 0.022, 225.981, 0.074, 201.875, 0.015, 230.916, 0.075, 222.98, 0.018, 214.639, 0.069, 192.771, 0.01, 205.82, 0.083, 224.488, 0.029, 221.891, 0.062, 174.553, 0.021,
035-pdm03ABBAa1, 9.636770, 0.010117107438, 168.649, 0.009, 178.979, 0.048, 199.485, 0.044, 148.051, 0.024, 152.806, 0.035, 180.801, 0.065, 190.142, 0.017, 185.719, 0.008, 198.559, 0.02, 145.265, 0.041, 219.361, 0.028, 196.586, 0.038,
035-pdm03ABBAb1, 10.353500, 0.0198060661157, 213.507, 0.041, 194.491, 0.005, 168.396, 0.005, 131.649, 0.053, 208.774, 0.051, 199.752, 0.005, 183.617, 0.013, -221.253, 0.005, 206.84, 0.055, 237.873, 0.005, 118.451, 0.03, 224.773, 0.07,
035-pdm04ABABa1, 9.413200, 0.00642423140496, 183.346, 0.012, 228.831, 0.043, 187.724, 0.008, 235.44, 0.036, 210.896, 0.008, 201.256, 0.027, 138.165, 0.005, 220.612, 0.048, 176.26, 0.02, 207.239, 0.061, 114.351, 0.042, 222.369, 0.061,
035-pdm04ABABb1, 9.316110, 0.00141099173554, 211.733, 0.043, -192.965, 0.005, 216.906, 0.056, 159.024, 0.005, 198.913, 0.053, 178.528, 0.023, 182.723, 0.057, 168.176, 0.005, 183.751, 0.055, 188.438, 0.019, 154.457, 0.092, 77.6292, 0.023,
035-pdm04ABBAa1, 11.742500, 0.0120264132231, -194.616, 0.011, 223.804, 0.035, 109.805, 0.09, 233.345, 0.067, 90.7716, 0.025, 165.483, 0.043, 251.143, 0.053, 97.9619, 0.093, 174.753, 0.014, 201.46, 0.037, 274.783, 0.079, 186.409, 0.015,
035-pdm04ABBAb1, 8.869140, 0.00611018181818, 173.759, 0.01, 199.588, 0.034, 170.138, 0.01, 141.783, 0.047, 185.736, 0.016, -169.477, 0.007, -176.886, 0.006, 157.488, 0.04, 188.596, 0.043, -165.579, 0.069, 109.285, 0.064, 156.97, 0.005,
035-pdm05ABABa1, 7.013120, 0.0144706115702, 214.003, 0.032, 234.247, 0.064, 208.976, 0.02, 266.934, 0.069, 138.145, 0.053, 303.987, 0.058, 225.596, 0.237, 177.084, 0.084, 140.723, 0.01, 229.822, 0.44, 122.991, 0.014, 186.88, 0.005,
