020-pdm01ABABa1, 12.009700, 0.00905133884298, 186.511, 0.015, -155.909, 0.09, -182.826, 0.005, 167.951, 0.045, -157.629, 0.08, 120.094, 0.008, 155.602, 0.005, 191.09, 0.028, 147.534, 0.011, 164.041, 0.04, 235.078, 0.027, 259.704, 0.075,
020-pdm01ABABb1, 8.814290, 0.00133474380165, 240.169, 0.095, 140.09, 0.019, 240.022, 0.108, 217.198, 0.042, -224.416, 0.144, 204.519, 0.033, 245.967, 0.087, 212.998, 0.025, 172.179, 0.109, -156.833, 0.085, 265.038, 0.082, 196.362, 0.025,
020-pdm01ABBAa1, 8.257760, 0.00102892561983, 199.27, 0.042, 247.34, 0.121, 226.714, 0.1, -149.154, 0.079, 158.039, 0.005, 203.665, 0.044, 229.191, 0.127, 262.254, 0.086, 195.824, 0.022, 273.582, 0.071, 245.359, 0.078, 198.009, 0.032,
020-pdm01ABBAb1, 8.874270, 0.000389140495868, 148.724, 0.023, -122.127, 0.087, 198.77, 0.031, 160.125, 0.034, 156.684, 0.095, -146.497, 0.079, 173.575, 0.011, 284.572, 0.121, 236.378, 0.113, 175.781, 0.018, 211.85, 0.046, 243.23, 0.09,
020-pdm02ABABa1, 10.492000, 0.000463603305785, 177.983, 0.009, 268.087, 0.062, 227.748, 0.033, 246.11, 0.073, 184.826, 0.031, 241.813, 0.059, 239.236, 0.035, 221.807, 0.048, 196.592, 0.027, 247.786, 0.071, 205.766, 0.037, 268.006, 0.077,
020-pdm02ABABb1, 10.238200, 0.00113790082645, 224.181, 0.053, 212.158, 0.023, 247.206, 0.073, -215.661, 0.079, 281.803, 0.1, 205.758, 0.028, 264.952, 0.069, -208.369, 0.084, 251.386, 0.091, 212.49, 0.023, 288.035, 0.031, 221.507, 0.024,
020-pdm02ABBAa1, 10.413300, 0.000727173553719, 191.128, 0.016, 243.933, 0.07, 245.248, 0.066, -223.702, 0.09, 236.473, 0.021, 281.965, 0.082, 261.535, 0.084, 231.95, 0.021, 257.641, 0.028, 249.123, 0.069, 214.565, 0.035, -206.389, 0.075,
020-pdm02ABBAb1, 10.316700, 0.000113355371901, 225.864, 0.062, 209.649, 0.033, 205.211, 0.03, 249.291, 0.055, 245.142, 0.074, 246.174, 0.027, 245.201, 0.035, 258.779, 0.075, 255.282, 0.076, 249.67, 0.029, 231.111, 0.025, 260.876, 0.086,
020-pdm03ABABa1, 9.358280, 0.0189586942149, -188.539, 0.075, 228.276, 0.071, 112.678, 0.01, 196.627, 0.031, 247.38, 0.026, 232.06, 0.059, 147.949, 0.077, 230.624, 0.061, 248.912, 0.021, 246.274, 0.074, 227.364, 0.016, 242.16, 0.052,
020-pdm03ABABb1, 8.101900, 0.0083592892562, 202.445, 0.075, 182.891, 0.005, 204.076, 0.007, 204.344, 0.031, -222.651, 0.087, 170.456, 0.105, 244.279, 0.005, -236.357, 0.005, -157.798, 0.076, 195.662, 0.068, 211.002, 0.09, 191.601, 0.005,
020-pdm03ABBAa1, 9.375880, 0.001866, 142.187, 0.017, 249.272, 0.043, 261.922, 0.06, -207.061, 0.082, 201.275, 0.032, 251.644, 0.063, 163.378, 0.062, -166.954, 0.005, -223.053, 0.086, 291.959, 0.08, 245.209, 0.067, -215.237, 0.08,
020-pdm03ABBAb1, 8.504400, 0.00686565289256, 283.97, 0.068, -201.81, 0.079, 202.552, 0.014, 234.672, 0.078, 256.846, 0.077, 207.035, 0.02, 250.881, 0.026, 214.207, 0.083, 209.619, 0.109, 171.178, 0.005, 195.848, 0.037, 198.529, 0.009,
