014-pdm01ABABa1, 8.869450, 0.000340611570248, -152.196, 0.078, 205.805, 0.073, 229.85, 0.013, 224.673, 0.061, 211.85, 0.026, 234.329, 0.073, 201.69, 0.012, 210.242, 0.067, -197.129, 0.088, 238.533, 0.108, 176.98, 0.03, 216.599, 0.105,
014-pdm01ABABb1, 9.431600, 0.000996776859504, 204.21, 0.067, 187.775, 0.017, 254.243, 0.071, 187.029, 0.014, 225.217, 0.074, -147.33, 0.016, 254.811, 0.079, 164.124, 0.014, 223.819, 0.089, 196.333, 0.03, 264.317, 0.093, 182.728, 0.028,
014-pdm01ABBAa1, 8.922840, 0.000317685950413, -166.141, 0.005, 222.336, 0.063, 220.447, 0.073, 157.317, 0.005, 234.528, 0.03, 195.481, 0.105, 221.788, 0.096, 182.093, 0.023, 181.365, 0.02, 223.618, 0.079, -199.756, 0.121, 167.68, 0.022,
014-pdm01ABBAb1, 8.669960, 0.00146251239669, 210.944, 0.077, -134.402, 0.082, -106.033, 0.088, 200.868, 0.078, 222.329, 0.092, -169.324, 0.056, 163.182, 0.037, 232.052, 0.092, 218.344, 0.075, 186.168, 0.014, 226.051, 0.027, 221.128, 0.106,
014-pdm02ABABa1, 10.752900, 0.0010173553719, 175.127, 0.012, 228.523, 0.083, 182.065, 0.012, 208.939, 0.072, 195.099, 0.013, 226.047, 0.055, 214.645, 0.013, 223.735, 0.051, 226.897, 0.013, 234.122, 0.058, 195.639, 0.012, 227.074, 0.039,
014-pdm02ABABb1, 10.088900, 0.000426082644628, 246.547, 0.061, 231.874, 0.021, 190.744, 0.077, 220.309, 0.015, 176.154, 0.044, 149.733, 0.013, 211.28, 0.081, 217.742, 0.011, 217.411, 0.079, 160.809, 0.016, 185.567, 0.058, -144.22, 0.014,
014-pdm02ABBAa1, 9.773530, 0.00172705785124, 161.896, 0.029, 226.46, 0.087, 188.834, 0.054, 232.41, 0.015, 237.028, 0.022, 203.051, 0.052, 213.485, 0.095, -198.863, 0.005, 175.729, 0.028, 193.261, 0.035, 194.277, 0.074, 211.284, 0.012,
014-pdm02ABBAb1, 10.027300, 0.000889603305785, 243.715, 0.07, 197.877, 0.022, 144.85, 0.013, 221.889, 0.064, 222.939, 0.073, 224.368, 0.015, 198.594, 0.02, 205.042, 0.039, 232.524, 0.089, 149.089, 0.014, 203.521, 0.023, 235.099, 0.089,
014-pdm03ABABa1, 9.863500, 0.00090547107438, 230.705, 0.011, 205.566, 0.051, 162.484, 0.011, 240.481, 0.065, 160.344, 0.033, 241.76, 0.09, -179.7, 0.064, 215.633, 0.049, -176.804, 0.084, 219.902, 0.057, 244.704, 0.016, 219.666, 0.037,
014-pdm03ABABb1, 9.838030, 0.00126479338843, 212.923, 0.07, 165.147, 0.006, 205.319, 0.068, 216.233, 0.009, 200.71, 0.07, 193.149, 0.007, 193.556, 0.065, 192.527, 0.019, 203.023, 0.058, 191.918, 0.057, 264.112, 0.066, -180.324, 0.005,
014-pdm03ABBAa1, 9.549990, 0.000498694214876, -188.635, 0.086, 188.223, 0.091, 216.461, 0.043, 189.087, 0.024, 230.855, 0.014, 229.199, 0.034, 239.248, 0.043, -176.527, 0.005, 183.879, 0.023, 238.797, 0.059, 208.449, 0.043, 220.462, 0.015,
014-pdm03ABBAb1, 9.511650, 0.00247947107438, 237.508, 0.071, 197.605, 0.014, 213.869, 0.024, 229.06, 0.045, 213.216, 0.047, 231.111, 0.033, 181.135, 0.023, 175.011, 0.068, 192.168, 0.081, 218.242, 0.055, 251.733, 0.028, 184.893, 0.018,
