021-pdm01ABABa1, 6.832700, 0.0188627272727, 224.553, 0.02, 225.665, 0.08, 192.008, 0.019, 167.637, 0.094, 169.146, 0.022, 131.626, 0.121, 178.275, 0.084, 111.324, 0.006, 223.837, 0.041, 129.599, 0.087, 205.862, 0.083, 108.016, 0.06,
021-pdm01ABABb1, 7.700780, 0.000603421487603, 133.892, 0.014, -169.451, 0.074, 204.67, 0.117, 183.491, 0.05, 161.382, 0.008, 182.461, 0.027, 146.25, 0.008, 226.399, 0.018, 231.245, 0.099, -171.879, 0.082, 212.081, 0.101, 239.342, 0.022,
021-pdm01ABBAa1, 8.918640, 0.000452330578512, 172.111, 0.022, 147.071, 0.01, 181.429, 0.144, 209.284, 0.022, 221.706, 0.017, 234.203, 0.079, 232.438, 0.104, 208.251, 0.024, 229.295, 0.017, 239.868, 0.081, 184.781, 0.092, -195.757, 0.076,
021-pdm01ABBAb1, 8.821960, 0.000475702479339, 215.982, 0.072, 178.969, 0.005, 137.218, 0.031, 212.725, 0.095, 217.846, 0.093, -173.432, 0.086, -186.549, 0.083, 224.246, 0.084, 202.456, 0.102, -139.88, 0.091, 216.138, 0.042, 186.834, 0.105,
021-pdm02ABABa1, 6.866120, 0.0666218842975, 129.684, 0.172, 176.184, 0.174, 183.421, 0.016, 215.07, 0.056, 186.242, 0.011, 198.139, 0.062, 219.171, 0.008, 208.007, 0.073, 199.914, 0.011, 219.086, 0.131, -171.045, 0.083, 220.092, 0.334,
021-pdm02ABABb1, 9.950920, 0.000887504132231, 149.014, 0.087, 181.427, 0.09, 201.805, 0.078, 157.736, 0.012, 169.827, 0.007, -177.374, 0.071, 190.01, 0.073, 133.813, 0.027, 189.318, 0.065, 206.841, 0.018, 191.362, 0.061, 190.977, 0.02,
021-pdm02ABBAa1, 9.499510, 0.0104638842975, 179.272, 0.015, 241.499, 0.047, 234.745, 0.061, 178.704, 0.013, 167.433, 0.077, 183.924, 0.018, 172.331, 0.017, 233.054, 0.056, 167.755, 0.015, 251.606, 0.014, 192.185, 0.015, 170.478, 0.012,
021-pdm02ABBAb1, 9.617590, 0.0018547768595, 258.693, 0.202, -245.957, 0.078, 248.286, 0.012, 246.037, 0.047, 269.364, 0.05, 234.023, 0.014, -199.759, 0.077, 172.157, 0.005, 216.533, 0.059, 242.417, 0.014, 209.703, 0.011, 214.452, 0.031,
021-pdm03ABABa1, 9.005810, 0.00176315702479, 171.971, 0.025, 200.464, 0.095, 227.658, 0.072, 177.564, 0.068, 261.912, 0.017, 260.755, 0.038, 175.098, 0.016, -213.907, 0.105, 255.362, 0.047, -236.56, 0.107, 237.815, 0.031, -220.15, 0.107,
021-pdm03ABABb1, 6.478730, 0.0508921983471, -165.858, 0.005, 199.94, 0.009, 221.912, 0.015, 160.85, 0.056, 236.189, 0.139, 212.179, 0.005, 257.466, 0.159, 166.252, 0.009, 263.86, 0.086, 208.409, 0.026, 139.948, 0.005, 134.205, 0.083,
021-pdm03ABBAa1, 10.251900, 0.000314809917355, 184.126, 0.005, 226.391, 0.051, 235.733, 0.011, 163.758, 0.064, 249.801, 0.012, 226.827, 0.053, 263.98, 0.069, 238.626, 0.012, 245.092, 0.011, 173.029, 0.09, 199.265, 0.096, -217.84, 0.072,
021-pdm03ABBAb1, 8.417270, 0.00811968595041, 146.297, 0.103, 141.393, 0.014, 140.138, 0.015, 148.942, 0.005, 198.94, 0.064, 245.611, 0.011, 194.844, 0.088, 241.885, 0.07, 256.013, 0.08, 282.883, 0.017, 233.6, 0.011, 224.213, 0.136,
021-pdm04ABABa1, 9.460870, 0.00141297520661, 172.262, 0.073, -137.846, 0.059, 167.073, 0.016, 174.667, 0.078, 164.75, 0.018, 193.717, 0.063, 204.79, 0.022, 176.096, 0.038, 218.794, 0.016, 173.856, 0.12, 202.756, 0.02, 198.545, 0.036,
021-pdm04ABABb1, 9.523740, 0.000894561983471, 165.216, 0.06, 159.85, 0.028, 170.12, 0.078, -172.109, 0.073, 165.724, 0.09, 152.021, 0.049, 105.182, 0.077, 153.702, 0.007, -172.163, 0.118, 167.722, 0.024, 173.555, 0.081, 163.535, 0.067,
021-pdm04ABBAa1, 9.251710, 0.000362776859504, 219.778, 0.032, 258, 0.058, 250.428, 0.072, 220.706, 0.11, 204.16, 0.021, 185.684, 0.111, 259.969, 0.067, 215.015, 0.014, 181.667, 0.02, 238.697, 0.068, 225.637, 0.087, 220.105, 0.034,
021-pdm04ABBAb1, 9.152380, 0.000594628099174, 207.036, 0.073, 172.534, 0.04, 216.525, 0.069, -181.76, 0.084, 253.366, 0.077, 229.831, 0.022, 116.658, 0.021, 142.99, 0.118, -151.126, 0.042, 199.064, 0.02, 199.718, 0.021, 120.251, 0.03,
021-pdm05ABABa1, 8.734030, 0.000296975206612, 175.742, 0.029, 259.829, 0.065, 220.654, 0.02, 228.53, 0.096, 190.369, 0.017, 221.808, 0.106, 152.738, 0.016, 191.836, 0.057, -204.629, 0.077, 181.298, 0.074, -173.8, 0.074, 244.978, 0.068,
021-pdm05ABABb1, 9.054420, 0.000308429752066, 250.273, 0.072, 177.787, 0.015, 174.295, 0.08, 186.435, 0.015, 181.709, 0.087, 157.19, 0.015, 168.143, 0.1, 170.424, 0.005, 194.018, 0.128, 138.692, 0.01, 210.931, 0.089, 163.921, 0.016,
021-pdm05ABBAa1, 8.403430, 0.000416330578512, 227.972, 0.065, 197.108, 0.018, 246.202, 0.101, 139.11, 0.015, 207.02, 0.084, 189.754, 0.016, 130.305, 0.03, 180.034, 0.015, 209.27, 0.015, 221.313, 0.079, 238.808, 0.089, 172.506, 0.016,
021-pdm05ABBAb1, 8.338770, 0.000449239669421, 248.842, 0.071, 172.41, 0.014, 202.408, 0.024, 211.179, 0.064, 165.402, 0.088, 201.02, 0.021, -177.054, 0.075, 230.164, 0.11, 186.836, 0.087, 205.47, 0.017, 200.198, 0.022, 266.282, 0.076,
021-pdm06ABABa1, 8.930970, 0.00127619834711, 197.608, 0.019, 207.172, 0.049, 233.484, 0.014, 169.226, 0.065, 207.134, 0.02, 231.337, 0.059, 191.674, 0.015, 240.846, 0.066, 189.941, 0.024, 240.904, 0.068, 263.682, 0.065, 170.143, 0.031,
021-pdm06ABABb1, 8.597600, 0.000752545454545, 260.104, 0.052, 190.345, 0.014, 254.994, 0.053, 191.939, 0.021, 216.711, 0.057, 190.017, 0.018, 241.412, 0.065, 182.111, 0.06, 242.478, 0.081, 247.598, 0.024, 230.579, 0.053, 184.955, 0.027,
021-pdm06ABBAa1, 8.704370, 0.000401157024793, 231.945, 0.032, 222.301, 0.059, 194.591, 0.055, 210.877, 0.026, 201.655, 0.017, 267.891, 0.079, 243.255, 0.078, 226.346, 0.026, 262.473, 0.02, 205.569, 0.079, 266.711, 0.085, 241.859, 0.028,
021-pdm06ABBAb1, 8.495870, 0.000492049586777, 237.397, 0.07, 256.32, 0.015, 210.168, 0.013, 235.756, 0.044, 255.44, 0.068, 179.218, 0.023, 199.064, 0.021, 133.427, 0.031, 252.648, 0.055, 196.089, 0.018, 206.211, 0.018, 250.123, 0.061,
021-pdm07ABABa1, 8.956030, 0.000455685950413, 222.584, 0.025, 294.847, 0.078, 257.132, 0.015, 240.741, 0.114, 283.657, 0.015, 233.647, 0.14, 280.363, 0.014, 301.138, 0.094, 294.031, 0.015, 236.047, 0.146, 280.45, 0.018, 202.194, 0.034,
021-pdm07ABABb1, 8.078260, 0.000630231404959, 188.501, 0.028, 227.268, 0.013, 189.623, 0.049, 202.132, 0.015, 165.17, 0.031, 281.054, 0.014, 187.435, 0.019, 245.097, 0.018, 306.674, 0.083, 250.106, 0.015, 243.4, 0.107, 241.416, 0.04,
021-pdm07ABBAa1, 8.241230, 0.00158469421488, 250.807, 0.017, 205.897, 0.088, 199.308, 0.041, 229.567, 0.016, 203.215, 0.035, -242.667, 0.08, 201.435, 0.049, 217.034, 0.015, 255.995, 0.081, 194.54, 0.036, 279.123, 0.059, 216.905, 0.015,
021-pdm07ABBAb1, 9.015910, 0.000745884297521, 257.655, 0.054, 246.007, 0.011, 269.085, 0.013, 303.678, 0.073, 258.422, 0.104, 298.415, 0.016, 243.244, 0.014, 199.553, 0.038, 246.09, 0.115, 238.878, 0.015, 248.915, 0.018, 310.997, 0.094,
021-pdm08ABABa1, 7.854920, 0.000596016528926, 206.922, 0.024, 175.134, 0.067, 190.717, 0.013, 205.746, 0.059, 209.555, 0.028, 254.592, 0.096, 231.335, 0.02, 162.015, 0.136, 160.272, 0.06, 149.541, 0.051, 157.828, 0.037, 156.239, 0.034,
021-pdm08ABABb1, 8.453170, 4.3867768595e-05, 204.409, 0.066, 208.615, 0.026, 193.146, 0.08, 200.342, 0.019, 226.817, 0.077, 211.994, 0.016, 194.542, 0.088, 225.855, 0.024, 232.149, 0.11, 250.985, 0.031, 227.883, 0.094, 226.55, 0.023,
