040-pdm01ABABa1, 8.969370, 0.000119900826446, 211.368, 0.025, 230.072, 0.089, 189.147, 0.017, 228.712, 0.088, 207.509, 0.022, 240.292, 0.094, 182.991, 0.016, 259.496, 0.095, 214.634, 0.016, 231.748, 0.08, 195.609, 0.017, 218.9, 0.058,
040-pdm01ABABb1, 9.006210, 0.00102844628099, 201.605, 0.075, 172.08, 0.022, 213.396, 0.06, 170.578, 0.011, 227.043, 0.081, -119.964, 0.087, 246.228, 0.072, -159.348, 0.074, 211.666, 0.073, -123.016, 0.017, 194.437, 0.018, 136.186, 0.044,
040-pdm01ABBAa1, 9.126080, 0.00086626446281, 131.686, 0.098, 266.825, 0.085, 206.455, 0.076, 166.459, 0.015, 220.169, 0.015, 231.81, 0.054, 234.775, 0.07, 161.608, 0.01, 209.904, 0.017, 227.557, 0.058, 261.045, 0.074, 152.742, 0.019,
040-pdm01ABBAb1, 9.352240, 0.00102619834711, 237.554, 0.074, 185.065, 0.01, 186.266, 0.011, 265.804, 0.075, 247.95, 0.065, 171.72, 0.017, 165.86, 0.011, 244.659, 0.051, 251.255, 0.082, 190.723, 0.01, 192.867, 0.01, 252.757, 0.07,
040-pdm02ABABa1, 9.932450, 0.000477421487603, -154.285, 0.253, 236.539, 0.08, 206.784, 0.01, 220.531, 0.059, 204.687, 0.023, 255.186, 0.069, 205.033, 0.009, 264.054, 0.065, -221.006, 0.008, 274.872, 0.075, 213.892, 0.014, 232.187, 0.009,
040-pdm02ABABb1, 10.451200, 0.000712776859504, 289.704, 0.081, 215.785, 0.007, 262.427, 0.086, 230.123, 0.01, 265.851, 0.062, 230.914, 0.008, 281.726, 0.095, 219.451, 0.009, 290.631, 0.085, 225.275, 0.008, 262.493, 0.089, 229.525, 0.015,
040-pdm02ABBAa1, 10.524300, 0.000252561983471, 179.459, 0.01, 278.609, 0.096, 282.958, 0.092, 243.141, 0.014, 228.915, 0.01, 280.28, 0.086, 269.724, 0.08, 233.728, 0.01, 248.54, 0.009, 256.108, 0.06, 281.585, 0.083, 220.244, 0.01,
040-pdm02ABBAb1, 9.733730, 0.000895685950413, 355.318, 0.102, 220.114, 0.011, 237.06, 0.015, 250.841, 0.069, 250.506, 0.077, 232.707, 0.009, 224.713, 0.014, 256.827, 0.079, 263.654, 0.072, 229.917, 0.009, 255.254, 0.009, 264.013, 0.072,
040-pdm03ABABa1, 9.257500, 0.00179601652893, 210.376, 0.029, 248.384, 0.047, 179.761, 0.01, 228.234, 0.05, 202.213, 0.005, 223.085, 0.101, -242.233, 0.018, 227.303, 0.053, 198.716, 0.01, 208.395, 0.058, 209.535, 0.016, 250.497, 0.054,
040-pdm03ABABb1, 9.546210, 0.000874066115702, 212.832, 0.072, -211.904, 0.007, 204.289, 0.042, 202.491, 0.013, 230.834, 0.063, 191.294, 0.012, 230.453, 0.072, 211.998, 0.009, 243.745, 0.066, 230.679, 0.014, 262.037, 0.053, 165.489, 0.037,
040-pdm03ABBAa1, 9.352390, 0.00412781818182, 133.27, 0.005, 248.686, 0.047, 227.015, 0.04, 236.486, 0.01, 231.777, 0.025, 238.518, 0.05, 253.107, 0.068, 199.478, 0.014, 205.61, 0.018, 214.01, 0.041, 232.574, 0.035, 231.695, 0.015,
040-pdm03ABBAb1, 8.896440, 0.000666561983471, 275.423, 0.061, 236.772, 0.01, 240.369, 0.015, 245.022, 0.075, 217.582, 0.07, 223.461, 0.007, 214.464, 0.008, 265.577, 0.081, 228.38, 0.063, 197.514, 0.008, 222.529, 0.009, 254.31, 0.079,
040-pdm04ABABa1, 9.832450, 0.00101841322314, 205.769, 0.005, 224.11, 0.06, 237.908, 0.015, 230.082, 0.039, 226.703, 0.014, 215.473, 0.066, 232.862, 0.015, 204.883, 0.006, 198.785, 0.014, 178.262, 0.057, 203.784, 0.009, 255.788, 0.068,
040-pdm04ABABb1, 10.078200, 0.000366743801653, 191.654, 0.051, 206.961, 0.008, 186.517, 0.038, 207.201, 0.009, 209.262, 0.047, 229.148, 0.009, 222.929, 0.05, 229.533, 0.009, 241.509, 0.072, 219.652, 0.017, 213.906, 0.053, 197.967, 0.019,
040-pdm04ABBAa1, 9.859530, 0.000477421487603, 238.925, 0.01, 196.552, 0.055, 217.345, 0.056, 219.594, 0.018, 230.314, 0.009, 222.791, 0.058, 209.961, 0.063, 220.005, 0.023, 211.238, 0.016, 224.775, 0.057, 232.615, 0.039, 209.041, 0.025,
040-pdm04ABBAb1, 10.000700, 0.000232148760331, 224.614, 0.069, 203.679, 0.009, 209.302, 0.01, 207.923, 0.051, 241.069, 0.08, 205.517, 0.01, 223.281, 0.01, 217.323, 0.063, 227.035, 0.058, 209.133, 0.05, 202.129, 0.012, 180.045, 0.032,
040-pdm05ABABa1, 9.231710, 0.000336975206612, 268.939, 0.017, 227.13, 0.056, 219.726, 0.017, 235.002, 0.061, 237.392, 0.016, 268.29, 0.042, 223.877, 0.016, 249.755, 0.052, 261.063, 0.021, 250.086, 0.051, 218.731, 0.012, 294.082, 0.064,
040-pdm05ABABb1, 9.031070, 0.000164776859504, 233.133, 0.056, -139.062, 0.097, 181.34, 0.06, 215.759, 0.015, 221.405, 0.074, 240.901, 0.023, 264.911, 0.052, 228.646, 0.013, 236.26, 0.05, 204.39, 0.017, 237.292, 0.041, 194.577, 0.012,
040-pdm05ABBAa1, 9.187630, 0.00019732231405, 220.079, 0.023, 222.524, 0.057, 238.275, 0.063, 217.649, 0.017, 233.532, 0.017, 257.456, 0.069, 259.207, 0.053, 211.037, 0.019, 241.082, 0.019, 262.898, 0.065, 255.745, 0.088, 195.241, 0.016,
040-pdm05ABBAb1, 8.156950, 0.00432619834711, 252.451, 0.452, 183.933, 0.016, 216.389, 0.013, 241.882, 0.046, 266.175, 0.047, 223.466, 0.011, 184.658, 0.017, 241.938, 0.067, 248.611, 0.061, 218.969, 0.013, -135.453, 0.011, 251.51, 0.063,
